IE_XML_ID;IE_NAME;IP_PROP30;IP_PROP31;IP_PROP32;CP_QUANTITY;CR_PRICE_1_USD
548;Туфли Ультра Лайн;flowers;39.0;;100;40.69
229;Штаны Цветочная Поляна;purple;;M;100;31.97
205;Штаны Полосатый Рейс;blue;;S;100;29.06
529;Туфли Ультра Лайн;white;35.0;;100;40.69
442;Спортивный Костюм Розовый Вихрь;pink;;XL;100;37.36
633;Ремень Плетение;red;;XS;100;10.9
352;Нижнее белье Ночь наступает;black;;L;100;22.66
559;Ремень Радуга;purple;;L;100;5.67
204;Штаны Полосатый Рейс;blue;;M;100;29.06
250;Штаны Цветочная Поляна;green;;M;100;31.97
630;Ремень Плетение;red;;L;100;10.9
188;Штаны Полосатый Рейс;green;;XL;100;29.06
234;Штаны Цветочная Поляна;white;;XL;100;31.97
569;Ремень Радуга;see;;XS;100;5.67
379;Футболка Женская Ночь;black;;L;100;11.03
431;Спортивный Костюм Элегантность в Ночи;black;;L;100;36.78
603;Ремень Класика;black;;L;100;17.3
578;Ремень Радуга;pink;;S;100;5.67
527;Туфли Ультра Лайн;jeans;39.0;;100;40.69
545;Туфли Ультра Лайн;flowers;36.0;;100;40.69
305;Нижнее белье Белая Свобода;white;;S;100;20.34
462;Спортивный Костюм Вечерний Спорт;white;;M;100;39.24
249;Штаны Цветочная Поляна;green;;XS;100;31.97
626;Ремень Строчка;brown;;S;100;11.62
625;Ремень Строчка;brown;;M;100;11.62
434;Спортивный Костюм Элегантность в Ночи;black;;XS;100;36.78
597;Ремень Радуга;green;;XS;100;5.67
634;Ремень Плетение;red;;M;100;10.9
374;Футболка Женская Чистота;white;;M;100;10.89
384;Футболка Женская Ночь;black;;S;100;11.03
481;Домашние Тапочки Любимый Спорт;brown;38.0;;100;14.52
218;Штаны Жизнь в Абстракции;orangered;;XL;100;27.61
533;Туфли Ультра Лайн;white;38.0;;100;40.69
221;Штаны Жизнь в Абстракции;orangered;;S;99;27.61
296;Нижнее белье Морская Волна;see;;S;100;18.88
536;Туфли Ультра Лайн;red;35.0;;100;40.69
562;Ремень Радуга;purple;;XS;100;5.67
363;Футболка Мужская Чистота;white;;XL;100;11.62
418;Спортивный Костюм Огонь в Ночи;black;;XS;100;36.33
397;Футболка Женский Соблазн;white;;L;100;12.34
287;Платье Красная Фея;red;;S;99;58.13
589;Ремень Радуга;brown;;XL;100;5.67
482;Домашние Тапочки Любимый Спорт;brown;39.0;;100;14.52
554;Туфли Ультра Лайн;brown;38.0;;100;40.69
258;Платье Модница на Прогулке;blue;;XS;100;72.67
388;Футболка Мужской Огонь;red;;L;100;11.32
225;Штаны Цветочная Поляна;purple;;L;100;31.97
641;Ремень Грубая Кожа;brown;;XL;100;10.39
220;Штаны Жизнь в Абстракции;orangered;;M;100;27.61
614;Ремень Элегантность;brown;;XL;100;10.61
575;Ремень Радуга;pink;;XL;100;5.67
488;Туфли Летняя Легкость;white;36.0;;100;29.06
244;Штаны Цветочная Поляна;red;;S;100;31.97
356;Нижнее белье Ночь наступает;black;;M;100;22.66
477;Домашние Тапочки Любимый Спорт;brown;35.0;;100;14.52
267;Платье Весенняя Легкость;purple;;XS;0;43.6
460;Спортивный Костюм Вечерний Спорт;white;;XL;100;39.24
612;Ремень Элегантность;brown;;L;100;10.61
196;Штаны Полосатый Рейс;brown;;XS;100;29.06
599;Ремень Радуга;green;;S;100;5.67
433;Спортивный Костюм Элегантность в Ночи;black;;XL;100;36.78
526;Туфли Ультра Лайн;jeans;38.0;;100;40.69
393;Футболка Мужской Огонь;red;;S;100;11.32
330;Нижнее белье Ночь Морозных Узоров;black;;S;100;21.21
282;Платье Красная Фея;red;;L;99;58.13
566;Ремень Радуга;see;;L;100;5.67
285;Платье Красная Фея;red;;XS;100;58.13
590;Ремень Радуга;brown;;XS;100;5.67
509;Пантолеты Кости на Пляже;black;39.0;;100;13.07
336;Нижнее белье Огонек в Ночи;black;;XL;100;21.79
553;Туфли Ультра Лайн;brown;37.0;;100;40.69
580;Ремень Радуга;blue;;L;100;5.67
293;Нижнее белье Морская Волна;see;;XL;100;18.88
406;Спортивный Костюм Нежная Теплота;azure;;L;100;33.87
213;Штаны Жизнь в Абстракции;redblue;;M;100;27.61
635;Ремень Плетение;red;;S;100;10.9
435;Спортивный Костюм Элегантность в Ночи;black;;M;100;36.78
276;Платье Ночная Жизнь;black;;XS;100;65.4
