Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-07-18,6180,,2589,3750,7311,3654,2813,5884,
2012-07-27,5759,,1948,3658,6851,3275,2653,5295,
2012-07-16,4827,,2092,3141,6049,2965,1703,4379,
2012-07-10,1580,,660,922,1629,860,695,2052,
2012-02-22,375,,10,263,501,264,12,3,
2012-08-21,5792,,2508,4063,6687,3369,2353,5640,
2012-04-13,3341,,1505,2565,4465,2358,922,3728,
2012-08-01,95,,1,62,98,64,11,63,
2012-09-24,4553,,2246,3117,5738,3705,1100,4683,
2012-04-10,4034,,2025,2705,4850,3066,555,3418,
2012-04-08,4223,,1305,2019,4425,1769,2939,4467,
2012-01-16,168,,2,136,312,137,1,0,
2012-07-14,4206,,1244,2441,4284,1562,2900,4252,
2012-12-04,3064,,1483,2306,4076,2280,590,3213,
2012-05-08,1864,,630,1100,2327,970,1066,2268,
2012-09-26,3948,,1873,2720,4755,3119,650,3721,
2012-03-20,2481,,1261,1709,3130,1955,762,2609,
2012-05-18,5980,,2241,4415,6646,3196,1711,5273,
2012-04-05,2511,,1163,2058,3717,1823,380,2631,
2012-01-09,3934,,1225,2371,3917,1887,2801,3845,
2012-02-24,243,,4,187,313,137,4,13,
2012-03-11,844,,380,612,1137,713,105,1302,
2012-10-30,2887,,1251,2007,3516,2255,338,2790,
2012-09-06,5164,,1672,3418,5557,2451,1551,6026,
2012-09-09,3312,,1810,1828,3458,2668,2118,4355,
2012-03-28,435,,179,329,709,486,28,529,
2012-07-09,6186,,2720,4153,7323,3886,2051,6104,
2012-07-19,6309,,2397,3996,7699,3777,2647,5665,
2012-09-08,4127,,1802,2601,5377,2656,1471,3636,
2012-04-25,2966,,1023,2228,3444,1800,445,2454,
2012-12-02,78,,0,36,91,53,5,0,
2012-02-23,397,,10,293,528,329,22,13,
2012-03-09,4179,,1532,2233,3718,1620,3783,4709,
2012-05-10,4151,,1977,2799,4688,2844,1035,4088,
2012-03-25,520,,243,309,691,427,145,723,
2012-07-30,5225,,2285,2975,6219,3196,2564,5100,
2012-12-03,802,,179,618,1265,747,0,548,
2012-05-13,2741,,1223,1703,3086,1592,1394,3496,
2012-06-20,5713,,2402,3524,6848,3510,2363,4852,
2012-03-18,1940,,856,1036,1923,1021,1128,2477,
